Date, Product_name, Producer, Price, Shipping, Rating, Number of Ratings
2020-02-08,ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,ASUS,,,Rating + 4",73
2020-02-08,GeForce RTX 2080 Ti XC ULTRA GAMING 11G-P4-2383-KR 11GB GDDR6 Dual HDB Fans & RGB LED,EVGA,1,219,,Rating + 3",41
2020-02-08,GeForce RTX 2070 SUPER XC GAMING 08G-P4-3172-KR 8GB GDDR6 Dual HDB Fans RGB LED Metal Backplate,EVGA,529,,Rating + 4",31
2020-02-08,GeForce GTX 1660 SC ULTRA GAMING 06G-P4-1067-KR 6GB GDDR5 Dual Fan Metal Backplate,EVGA,239,,Rating + 5",13
2020-02-08,Radeon RX 5700 XT GAMING OC 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57XTGAMING OC-8GD Video Card,GIGABYTE,409,,Rating + 4",102
2020-02-08,Radeon RX 5700 DirectX 12 RX 5700 EVOKE OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,MSI,339,,Rating + 4",2
2020-02-08,Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,MSI,409,,Rating + 3",29
2020-02-08,ROG Strix Radeon RX 580 O8G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card with RGB Lighting (ROG-STRIX-RX580-O8G-GAMING),ASUS,189,,Rating + 4",35
2020-02-08,GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card 3 x WINDFORCE Fans 8GB 256-Bit GDDR6 GV-N207SGAMING OC-8GD Video Card,GIGABYTE,529,,Rating + 4",34
2020-02-08,GeForce RTX 2070 SUPER XC ULTRA GAMING 08G-P4-3173-KR 8GB GDDR6 Dual HDB Fans RGB LED Metal Backplate,EVGA,549,,Rating + 4",36
2020-02-08,RED DEVIL Radeon RX 5700 XT DirectX 12 AXRX 5700 XT 8GBD6-3DHE/OC 8GB 256-Bit GDDR6 PCI Express 4.0 CrossFireX Support ATX Video Card,PowerColor,439,,Rating + 4",48
2020-02-08,Radeon RX 580 DirectX 12 RX-580P8RFD6 8GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support Video Card,XFX,169,,Rating + 4",8
2020-02-08,Radeon VII DirectX 12 RX-VEGMA3FD6 16GB 4096-Bit HBM2 PCI Express 3.0 CrossFireX Support Video Card,XFX,549,,Rating + 4",31
2020-02-08,RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,XFX,119,,Rating + 4",43
2020-02-08,Phantom Gaming D Radeon RX 570 DirectX 12 RX570 4G 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,ASRock,109,,Rating + 4",58
2020-02-08,GeForce RTX 2070 SUPER BLACK GAMING 08G-P4-3071-KR 8GB GDDR6,EVGA,509,,Rating + 4",51
2020-02-08,GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card Super Compact ZT-T16600K-10M,ZOTAC,202,,Rating + 5",2
2020-02-08,Radeon RX 5700 XT DirectX 12 RX 5700 XT CHALLENGER D 8G OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,ASRock,379,,Rating + 3",55
2020-02-08,RADEON RX 590 FATBOY Core Edition 8GB 1580MHz DDR5 3xDP HDMI DVI PCI Express 3.0 Graphics Card RX-590P8DLD6,XFX,199,,Rating + 5",6
2020-02-08,GeForce RTX 2060 SC Ultra GAMING 06G-P4-2067-KR 6GB GDDR6 Dual HDB Fans,EVGA,359,,Rating + 5",25
2020-02-08,ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING),ASUS,459,,Rating + 4",36
